圈号(scan_cnt),包数(packets),点数(points),最小角度(deg),最大角度(deg),最小距离(mm),最大距离(mm),时间类型(time_type),本圈最早时间戳(s),本圈最晚时间戳(s),本圈内时间跨度(ms),圈间时间差(ms),上一圈号(prev_scan_cnt),帧序号范围(seq_start),帧序号范围(seq_end),缺包估计(seq_missing_est),不连续次数(seq_discont),缺口累加估计(seq_missing_sum_est),重复次数(seq_dup),完成时间(completion_time),实时圈间时间差(ms)高精度
30,12,694,-88.640000,294.090000,0,65408,0,1280.096999999834,1280.096999999834,0.000000,66.000000,29,160,171,0,0,0,0,2026-05-06 16:25:03.413,66.000000
31,12,694,-88.640000,294.090000,0,65408,0,1280.163999999873,1280.163999999873,0.000000,67.000000,30,172,183,0,0,0,0,2026-05-06 16:25:03.481,67.000000
32,12,694,-86.080000,294.090000,0,65409,0,1280.230999999912,1280.230999999912,0.000000,67.000000,31,184,195,0,0,0,0,2026-05-06 16:25:03.545,67.000000
33,12,694,-88.640000,294.090000,0,65408,0,1280.296999999788,1280.296999999788,0.000000,66.000000,32,196,207,0,0,0,0,2026-05-06 16:25:03.615,66.000000
34,12,694,-88.640000,294.090000,0,65408,0,1280.363999999827,1280.363999999827,0.000000,67.000000,33,208,219,0,0,0,0,2026-05-06 16:25:03.679,67.000000
35,12,694,-88.640000,294.090000,0,65408,0,1280.430999999866,1280.430999999866,0.000000,67.000000,34,220,231,0,0,0,0,2026-05-06 16:25:03.747,67.000000
36,12,694,-88.640000,294.090000,0,65409,0,1280.496999999974,1280.496999999974,0.000000,66.000000,35,232,243,0,0,0,0,2026-05-06 16:25:03.813,66.000000
37,12,694,-88.640000,294.090000,0,65408,0,1280.563999999780,1280.563999999780,0.000000,67.000000,36,244,255,0,0,0,0,2026-05-06 16:25:03.881,67.000000
38,12,694,-86.080000,294.090000,0,65409,0,1280.630999999819,1280.630999999819,0.000000,67.000000,37,0,11,0,0,0,0,2026-05-06 16:25:03.945,67.000000
39,12,694,-88.640000,294.090000,0,65408,0,1280.696999999927,1280.696999999927,0.000000,66.000000,38,12,23,0,0,0,0,2026-05-06 16:25:04.015,66.000000
40,12,694,-86.080000,294.090000,0,65409,0,1280.763999999966,1280.763999999966,0.000000,67.000000,39,24,35,0,0,0,0,2026-05-06 16:25:04.080,67.000000
41,12,694,-88.640000,294.090000,0,65408,0,1280.830999999773,1280.830999999773,0.000000,67.000000,40,36,47,0,0,0,0,2026-05-06 16:25:04.147,67.000000
42,12,694,-88.640000,294.090000,0,65408,0,1280.896999999881,1280.896999999881,0.000000,66.000000,41,48,59,0,0,0,0,2026-05-06 16:25:04.212,66.000000
43,12,694,-88.640000,294.090000,0,65408,0,1280.963999999920,1280.963999999920,0.000000,67.000000,42,60,71,0,0,0,0,2026-05-06 16:25:04.282,67.000000
44,12,694,-88.640000,294.090000,0,65409,0,1281.030999999959,1281.030999999959,0.000000,67.000000,43,72,83,0,0,0,0,2026-05-06 16:25:04.345,67.000000
45,12,694,-88.640000,294.090000,0,65409,0,1281.096999999834,1281.096999999834,0.000000,66.000000,44,84,95,0,0,0,0,2026-05-06 16:25:04.415,66.000000
46,12,694,-88.640000,294.090000,0,65408,0,1281.163999999873,1281.163999999873,0.000000,67.000000,45,96,107,0,0,0,0,2026-05-06 16:25:04.480,67.000000
47,12,694,-88.640000,294.090000,0,65408,0,1281.230999999912,1281.230999999912,0.000000,67.000000,46,108,119,0,0,0,0,2026-05-06 16:25:04.548,67.000000
48,12,694,-88.640000,294.090000,0,65408,0,1281.297999999952,1281.297999999952,0.000000,67.000000,47,120,131,0,0,0,0,2026-05-06 16:25:04.612,67.000000
